,DateTime,Timestamp,Watt,Date
307,14:08:16,1514293696,49.193489,26.12.17
308,14:08:21,1514293701,6.753964,26.12.17
309,14:08:26,1514293706,6.71396,26.12.17
310,14:08:31,1514293711,51.083672,26.12.17
311,14:08:36,1514293716,6.731614,26.12.17
312,14:08:42,1514293722,6.718699,26.12.17
313,14:08:47,1514293727,35.389446,26.12.17
314,14:08:52,1514293732,8.211514,26.12.17
315,14:08:57,1514293737,6.673018,26.12.17
316,14:09:02,1514293742,9.564641,26.12.17
317,14:09:07,1514293747,49.570274,26.12.17
318,14:09:12,1514293752,6.735892,26.12.17
319,14:09:17,1514293757,6.718077,26.12.17
320,14:09:23,1514293763,51.318958,26.12.17
321,14:09:28,1514293768,6.708769,26.12.17
322,14:09:33,1514293773,6.66431,26.12.17
323,14:09:38,1514293778,47.824604,26.12.17
324,14:09:43,1514293783,6.669591,26.12.17
325,14:09:48,1514293788,6.667279,26.12.17
326,14:09:53,1514293793,47.960281,26.12.17
327,14:09:58,1514293798,7.081135,26.12.17
328,14:10:04,1514293804,6.6732,26.12.17
329,14:10:09,1514293809,71.878891,26.12.17
330,14:10:14,1514293814,11.813182,26.12.17
331,14:10:19,1514293819,6.641491,26.12.17
332,14:10:24,1514293824,9.519233,26.12.17
333,14:10:29,1514293829,50.216385,26.12.17
334,14:10:34,1514293834,6.699464,26.12.17
335,14:10:39,1514293839,6.737628,26.12.17
336,14:10:44,1514293844,48.652805,26.12.17
337,14:10:50,1514293850,6.710721,26.12.17
338,14:10:55,1514293855,6.713868,26.12.17
339,14:11:00,1514293860,42.803509,26.12.17
340,14:11:05,1514293865,6.740685,26.12.17
341,14:11:10,1514293870,6.717755,26.12.17
342,14:11:15,1514293875,34.095455,26.12.17
343,14:11:20,1514293880,12.003796,26.12.17
344,14:11:25,1514293885,6.723651,26.12.17
345,14:11:30,1514293890,67.714088,26.12.17
346,14:11:36,1514293896,50.220242,26.12.17
347,14:11:41,1514293901,6.685394,26.12.17
348,14:11:46,1514293906,6.6787,26.12.17
349,14:11:51,1514293911,51.277359,26.12.17
350,14:11:56,1514293916,6.706383,26.12.17
351,14:12:01,1514293921,6.691051,26.12.17
352,14:12:06,1514293926,50.4632,26.12.17
353,14:12:11,1514293931,8.555099,26.12.17
354,14:12:17,1514293937,6.686238,26.12.17
355,14:12:22,1514293942,41.610966,26.12.17
356,14:12:27,1514293947,25.377886,26.12.17
357,14:12:32,1514293952,6.747039,26.12.17
358,14:12:37,1514293957,6.621309,26.12.17
359,14:12:42,1514293962,51.58083,26.12.17
360,14:12:47,1514293967,6.564456,26.12.17
361,14:12:52,1514293972,6.603383,26.12.17
362,14:12:57,1514293977,54.695564,26.12.17
363,14:13:02,1514293982,6.57791,26.12.17
364,14:13:08,1514293988,6.570021,26.12.17
365,14:13:13,1514293993,48.691463,26.12.17
366,14:13:18,1514293998,6.606475,26.12.17
367,14:13:23,1514294003,6.637692,26.12.17
368,14:13:28,1514294008,47.263264,26.12.17
369,14:13:33,1514294013,8.264462,26.12.17
370,14:13:38,1514294018,6.74625,26.12.17
371,14:13:43,1514294023,56.434902,26.12.17
372,14:13:48,1514294028,12.119377,26.12.17
373,14:13:54,1514294034,6.703105,26.12.17
374,14:13:59,1514294039,6.755337,26.12.17
375,14:14:04,1514294044,50.324635,26.12.17
376,14:14:09,1514294049,6.77843,26.12.17
377,14:14:14,1514294054,6.731776,26.12.17
378,14:14:19,1514294059,48.501186,26.12.17
379,14:14:24,1514294064,6.75706,26.12.17
380,14:14:29,1514294069,6.691691,26.12.17
381,14:14:34,1514294074,46.145519,26.12.17
382,14:14:40,1514294080,6.692924,26.12.17
383,14:14:45,1514294085,6.684733,26.12.17
384,14:14:50,1514294090,46.399925,26.12.17
385,14:14:55,1514294095,8.799048,26.12.17
386,14:15:00,1514294100,6.723421,26.12.17
387,14:15:05,1514294105,13.715685,26.12.17
388,14:15:10,1514294110,22.64905,26.12.17
389,14:15:15,1514294115,6.655512,26.12.17
390,14:15:20,1514294120,6.703036,26.12.17
391,14:15:26,1514294126,48.584099,26.12.17
392,14:15:31,1514294131,6.75429,26.12.17
393,14:15:36,1514294136,6.730413,26.12.17
394,14:15:41,1514294141,45.608894,26.12.17
395,14:15:46,1514294146,6.709871,26.12.17
396,14:15:51,1514294151,6.718998,26.12.17
397,14:15:56,1514294156,48.894207,26.12.17
398,14:16:01,1514294161,6.785444,26.12.17
399,14:16:06,1514294166,6.707438,26.12.17
400,14:16:12,1514294172,80.358971,26.12.17
401,14:16:17,1514294177,23.157223,26.12.17
402,14:16:22,1514294182,6.685577,26.12.17
403,14:16:27,1514294187,6.686078,26.12.17
404,14:16:32,1514294192,53.048748,26.12.17
405,14:16:37,1514294197,6.624642,26.12.17
406,14:16:42,1514294202,6.573368,26.12.17
407,14:16:47,1514294207,52.42054,26.12.17
408,14:16:52,1514294212,6.58458,26.12.17
409,14:16:58,1514294218,6.621443,26.12.17
410,14:17:03,1514294223,49.670719,26.12.17
411,14:17:08,1514294228,7.851726,26.12.17
412,14:17:13,1514294233,6.582945,26.12.17
413,14:17:18,1514294238,32.406796,26.12.17
414,14:17:23,1514294243,13.214553,26.12.17
415,14:17:28,1514294248,6.566545,26.12.17
416,14:17:33,1514294253,81.325424,26.12.17
417,14:17:38,1514294258,24.330931,26.12.17
418,14:17:44,1514294264,6.720518,26.12.17
419,14:17:49,1514294269,6.656506,26.12.17
420,14:17:54,1514294274,54.736782,26.12.17
421,14:17:59,1514294279,6.684209,26.12.17
422,14:18:04,1514294284,6.68845,26.12.17
423,14:18:09,1514294289,49.059341,26.12.17
424,14:18:14,1514294294,6.733602,26.12.17
425,14:18:19,1514294299,6.70448,26.12.17
426,14:18:25,1514294305,49.951603,26.12.17
427,14:18:30,1514294310,6.707048,26.12.17
428,14:18:35,1514294315,6.658517,26.12.17
429,14:18:40,1514294320,53.693665,26.12.17
430,14:18:45,1514294325,11.640262,26.12.17
431,14:18:50,1514294330,6.684528,26.12.17
432,14:18:55,1514294335,7.13997,26.12.17
433,14:19:00,1514294340,48.598549,26.12.17
434,14:19:05,1514294345,6.63976,26.12.17
435,14:19:11,1514294351,6.630443,26.12.17
436,14:19:16,1514294356,48.98214,26.12.17
437,14:19:21,1514294361,6.676767,26.12.17
438,14:19:26,1514294366,6.690869,26.12.17
439,14:19:31,1514294371,50.45541,26.12.17
440,14:19:36,1514294376,6.636502,26.12.17
441,14:19:41,1514294381,6.65732,26.12.17
442,14:19:46,1514294386,46.96331,26.12.17
443,14:19:51,1514294391,10.440515,26.12.17
444,14:19:57,1514294397,6.6473,26.12.17
445,14:20:02,1514294402,41.090435,26.12.17
446,14:20:07,1514294407,12.857667,26.12.17
447,14:20:12,1514294412,6.797039,26.12.17
448,14:20:17,1514294417,6.931362,26.12.17
449,14:20:22,1514294422,50.022957,26.12.17
450,14:20:27,1514294427,6.861946,26.12.17
451,14:20:32,1514294432,6.653593,26.12.17
452,14:20:37,1514294437,46.48241,26.12.17
453,14:20:43,1514294443,6.700311,26.12.17
454,14:20:48,1514294448,6.695118,26.12.17
455,14:20:53,1514294453,52.561043,26.12.17
456,14:20:58,1514294458,6.654112,26.12.17
457,14:21:03,1514294463,6.697999,26.12.17
458,14:21:08,1514294468,44.109047,26.12.17
459,14:21:13,1514294473,11.983623,26.12.17
460,14:21:18,1514294478,6.670567,26.12.17
461,14:21:23,1514294483,11.589149,26.12.17
462,14:21:29,1514294489,12.111742,26.12.17
463,14:21:35,1514294495,6.683936,26.12.17
464,14:21:40,1514294500,9.628367,26.12.17
465,14:21:45,1514294505,50.305267,26.12.17
466,14:21:50,1514294510,6.720771,26.12.17
467,14:21:55,1514294515,6.636479,26.12.17
468,14:22:00,1514294520,48.516788,26.12.17
469,14:22:05,1514294525,6.723928,26.12.17
470,14:22:11,1514294531,6.682478,26.12.17
471,14:22:16,1514294536,47.870132,26.12.17
472,14:22:21,1514294541,6.698503,26.12.17
473,14:22:26,1514294546,6.639738,26.12.17
474,14:22:31,1514294551,44.675812,26.12.17
475,14:22:36,1514294556,6.596919,26.12.17
476,14:22:41,1514294561,6.562391,26.12.17
477,14:22:46,1514294566,35.288826,26.12.17
478,14:22:51,1514294571,11.65978,26.12.17
479,14:22:57,1514294577,6.566523,26.12.17
480,14:23:02,1514294582,6.551582,26.12.17
481,14:23:07,1514294587,51.210403,26.12.17
482,14:23:12,1514294592,6.544192,26.12.17
483,14:23:17,1514294597,6.55051,26.12.17
484,14:23:22,1514294602,69.766617,26.12.17
485,14:23:27,1514294607,29.50869,26.12.17
486,14:23:32,1514294612,29.590174,26.12.17
487,14:23:37,1514294617,54.843941,26.12.17
488,14:23:42,1514294622,27.304752,26.12.17
489,14:23:48,1514294628,22.296507,26.12.17
490,14:23:53,1514294633,42.675896,26.12.17
491,14:23:58,1514294638,43.626251,26.12.17
492,14:24:03,1514294643,41.345139,26.12.17
493,14:24:27,1514294667,41.438625,26.12.17
494,14:24:32,1514294672,35.7514,26.12.17
495,14:24:37,1514294677,46.949818,26.12.17
496,14:24:42,1514294682,61.822193,26.12.17
497,14:24:47,1514294687,78.143059,26.12.17
498,14:24:53,1514294693,86.114525,26.12.17
499,14:24:58,1514294698,96.283203,26.12.17
500,14:25:03,1514294703,110.935112,26.12.17
501,14:25:08,1514294708,111.054482,26.12.17
502,14:25:13,1514294713,115.461609,26.12.17
503,14:25:18,1514294718,113.635048,26.12.17
504,14:25:23,1514294723,22.050308,26.12.17
505,14:25:29,1514294729,22.052044,26.12.17
506,14:25:34,1514294734,22.064697,26.12.17
507,14:25:39,1514294739,22.199833,26.12.17
508,14:25:44,1514294744,22.761303,26.12.17
509,14:25:49,1514294749,22.895506,26.12.17
510,14:25:54,1514294754,23.190359,26.12.17
511,14:25:59,1514294759,22.545412,26.12.17
512,14:26:04,1514294764,29.362881,26.12.17
513,14:26:09,1514294769,28.621469,26.12.17
514,14:26:14,1514294774,12.661415,26.12.17
515,14:26:20,1514294780,9.473384,26.12.17
516,14:26:25,1514294785,28.363564,26.12.17
517,14:26:30,1514294790,12.52835,26.12.17
518,14:26:35,1514294795,12.51356,26.12.17
519,14:26:40,1514294800,33.700527,26.12.17
520,14:26:45,1514294805,12.35766,26.12.17
521,14:26:50,1514294810,12.392647,26.12.17
